dataset,model,nb_class,thread_time_mean,process_time_mean,raw_time_mean,liczba_regul_mean,srednia_dlugosc_reguly_mean,suma_warunkow_mean,train_acc_mean,test_acc_mean,train_bacc_mean,test_bacc_mean,thread_time_std,process_time_std,raw_time_std,liczba_regul_std,srednia_dlugosc_reguly_std,suma_warunkow_std,train_acc_std,test_acc_std,train_bacc_std,test_bacc_std
census_income_kdd,RuleKit_mincov-5_measure-C2_maxNbRules-25perOrgRules,2,2318.101,2318.101,2318.101,1254.2,5.94,7449.6,0.948,0.948,0.672,0.672,395.907,395.907,395.907,113.718,0.144,690.393,0.001,0.001,0.021,0.021
census_income_kdd,RuleKit_mincov-5_measure-C2_maxNbRules-3,2,5.26,5.26,5.26,6.0,3.667,22.0,0.778,0.778,0.791,0.79,0.429,0.429,0.429,0.0,0.136,0.816,0.001,0.003,0.001,0.005
census_income_kdd,RuleKit_mincov-5_measure-C2_maxNbRules-5,2,20.527,20.527,20.527,10.0,3.63,36.3,0.875,0.874,0.782,0.78,10.376,10.376,10.376,0.0,0.149,1.494,0.0,0.002,0.004,0.006
census_income_kdd,RuleKit_mincov-5_measure-C2_maxNbRules-50perOrgRules,2,3890.432,3890.432,3890.432,2399.2,6.03,14520.6,0.947,0.947,0.687,0.686,1475.593,1475.593,1475.593,309.075,0.269,2240.656,0.001,0.001,0.028,0.027
census_income_kdd,RuleKit_mincov-5_measure-Correlation,2,2383.435,2383.435,2383.435,130.9,3.682,483.8,0.921,0.92,0.734,0.735,536.941,536.941,536.941,19.796,0.242,91.404,0.028,0.03,0.048,0.048
census_income_kdd,RuleKit_mincov-5_measure-Correlation_maxNbRules-10,2,241.823,241.823,241.823,20.0,3.525,70.5,0.946,0.946,0.641,0.64,53.222,53.222,53.222,0.0,0.142,2.838,0.001,0.001,0.025,0.025
census_income_kdd,RuleKit_mincov-5_measure-Correlation_maxNbRules-100,2,2103.208,2103.208,2103.208,124.7,3.494,443.2,0.939,0.939,0.64,0.642,665.443,665.443,665.443,31.665,0.323,146.447,0.019,0.018,0.078,0.08
census_income_kdd,RuleKit_mincov-5_measure-Correlation_maxNbRules-10perOrgRules,2,333.348,333.348,333.348,26.4,3.676,97.2,0.946,0.946,0.658,0.657,103.579,103.579,103.579,3.978,0.131,16.123,0.001,0.001,0.029,0.029
census_income_kdd,RuleKit_mincov-5_measure-Correlation_maxNbRules-25perOrgRules,2,886.783,886.783,886.783,60.4,3.721,226.1,0.945,0.945,0.641,0.641,191.971,191.971,191.971,8.276,0.329,47.182,0.002,0.002,0.066,0.066
census_income_kdd,RuleKit_mincov-5_measure-Correlation_maxNbRules-3,2,52.914,52.914,52.914,6.0,3.467,20.8,0.939,0.938,0.714,0.713,10.94,10.94,10.94,0.0,0.172,1.033,0.008,0.009,0.018,0.018
census_income_kdd,RuleKit_mincov-5_measure-Correlation_maxNbRules-5,2,99.487,99.487,99.487,10.0,3.48,34.8,0.946,0.946,0.656,0.654,22.655,22.655,22.655,0.0,0.187,1.874,0.001,0.001,0.04,0.041
census_income_kdd,RuleKit_mincov-5_measure-Correlation_maxNbRules-50perOrgRules,2,1647.729,1647.729,1647.729,102.2,3.571,368.9,0.94,0.94,0.635,0.635,594.727,594.727,594.727,20.88,0.3,104.473,0.015,0.015,0.083,0.08
census_income_kdd,rulefit,2,419.105,932.475,419.627,21.3,3.137,66.7,0.948,0.948,0.599,0.6,37.149,100.243,37.221,2.111,0.165,6.219,0.002,0.002,0.018,0.018
fars,AQ15,8,17.111,17.111,17.111,44.6,5.465,245.8,0.423,0.422,0.282,0.156,6.132,6.132,6.132,15.027,0.502,97.738,0.004,0.004,0.012,0.019
fars,CN2_default,8,5102.032,5106.647,5102.483,6139.4,4.108,25222.7,0.846,0.267,0.72,0.128,341.6,341.901,341.691,313.782,0.03,1396.288,0.004,0.003,0.018,0.007
fars,CN2_v2,8,2201.191,2203.2,2201.376,6882.1,5.021,34608.5,0.883,0.264,0.698,0.127,351.554,351.907,351.572,546.915,0.172,3661.409,0.007,0.003,0.02,0.006
fars,IDS,8,54.074,54.101,54.079,15.2,1.963,29.8,0.417,0.417,0.125,0.127,5.576,5.583,5.574,3.853,0.046,7.451,0.0,0.0,0.0,0.006
fars,JRip,8,171.698,2912.976,201.794,51.8,6.741,348.3,0.723,0.719,0.471,0.466,21.486,727.395,26.525,4.984,0.392,28.764,0.007,0.007,0.007,0.022
fars,LORD,8,5.954,5.954,5.954,17597.1,7.377,129800.2,,0.782,,,0.933,0.933,0.933,306.03,0.075,1865.877,,0.005,,
fars,MLRules,8,498.625,499.081,498.663,100.0,10.748,1074.8,0.795,0.792,0.473,0.476,11.146,11.204,11.159,0.0,0.125,12.524,0.001,0.002,0.006,0.016
fars,OneR,8,0.423,0.48,0.423,3.0,1.0,3.0,0.615,0.615,0.25,0.254,0.087,0.206,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.011
fars,RuleKit_mincov-10perMinClass_measure-C2,8,1066.057,1066.057,1066.057,1718.9,8.478,14598.1,0.786,0.781,0.513,0.513,275.386,275.386,275.386,205.469,0.167,1963.979,0.007,0.007,0.016,0.025
fars,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10,8,52.086,52.086,52.086,74.1,8.2,607.6,0.78,0.779,0.453,0.452,8.38,8.38,8.38,0.316,0.212,15.586,0.007,0.007,0.023,0.032
fars,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-100,8,403.675,403.675,403.675,575.6,7.924,4562.2,0.769,0.766,0.51,0.512,53.2,53.2,53.2,12.267,0.166,170.227,0.02,0.022,0.02,0.036
fars,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10perOrgRules,8,847.576,847.576,847.576,901.7,7.486,6741.0,0.777,0.774,0.493,0.494,229.19,229.19,229.19,83.995,0.171,543.943,0.011,0.013,0.014,0.03
