dataset,model,nb_class,thread_time_mean,process_time_mean,raw_time_mean,liczba_regul_mean,srednia_dlugosc_reguly_mean,suma_warunkow_mean,train_acc_mean,test_acc_mean,train_bacc_mean,test_bacc_mean,thread_time_std,process_time_std,raw_time_std,liczba_regul_std,srednia_dlugosc_reguly_std,suma_warunkow_std,train_acc_std,test_acc_std,train_bacc_std,test_bacc_std
sleep,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-25perOrgRules,5,15.074,15.074,15.074,45.0,6.293,283.2,0.704,0.704,0.573,0.573,5.567,5.567,5.567,0.0,0.086,3.882,0.001,0.003,0.005,0.006
sleep,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-3,5,2.996,2.996,2.996,14.0,5.571,78.0,0.683,0.683,0.542,0.542,0.331,0.331,0.331,0.0,0.202,2.828,0.003,0.004,0.005,0.006
sleep,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-5,5,5.407,5.407,5.407,25.0,5.808,145.2,0.704,0.703,0.557,0.557,0.488,0.488,0.488,0.0,0.096,2.394,0.002,0.002,0.004,0.005
sleep,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-50perOrgRules,5,35.577,35.577,35.577,90.0,6.733,606.0,0.71,0.709,0.572,0.571,11.099,11.099,11.099,0.0,0.043,3.887,0.001,0.002,0.003,0.004
sleep,RuleKit_mincov-5_measure-C2,5,1678.885,1678.885,1678.885,5003.7,9.114,45611.6,0.736,0.734,0.607,0.604,164.04,164.04,164.04,168.104,0.047,1736.519,0.001,0.002,0.002,0.003
sleep,RuleKit_mincov-5_measure-C2_maxNbRules-10,5,7.43,7.43,7.43,49.6,6.704,332.5,0.699,0.699,0.593,0.593,0.794,0.794,0.794,0.516,0.144,6.115,0.002,0.003,0.004,0.006
sleep,RuleKit_mincov-5_measure-C2_maxNbRules-100,5,130.358,130.358,130.358,500.0,8.127,4063.7,0.721,0.72,0.624,0.622,13.002,13.002,13.002,0.0,0.054,26.879,0.001,0.002,0.002,0.004
sleep,RuleKit_mincov-5_measure-C2_maxNbRules-10perOrgRules,5,1266.176,1266.176,1266.176,2501.9,8.982,22474.5,0.735,0.732,0.604,0.601,498.449,498.449,498.449,84.034,0.031,819.484,0.002,0.003,0.003,0.004
sleep,RuleKit_mincov-5_measure-C2_maxNbRules-25perOrgRules,5,3094.1,3094.1,3094.1,6188.9,9.039,55945.8,0.734,0.729,0.581,0.576,1068.031,1068.031,1068.031,204.436,0.036,1973.613,0.002,0.004,0.006,0.007
sleep,RuleKit_mincov-5_measure-C2_maxNbRules-3,5,1.903,1.903,1.903,14.0,5.95,83.3,0.617,0.617,0.533,0.532,0.203,0.203,0.203,0.0,0.208,2.908,0.001,0.004,0.004,0.006
sleep,RuleKit_mincov-5_measure-C2_maxNbRules-5,5,3.273,3.273,3.273,24.8,6.156,152.6,0.664,0.664,0.567,0.566,0.384,0.384,0.384,0.422,0.167,2.171,0.002,0.003,0.002,0.003
sleep,RuleKit_mincov-5_measure-C2_maxNbRules-50perOrgRules,5,5095.855,5095.855,5095.855,11567.9,8.74,101101.1,0.75,0.734,0.603,0.586,1541.672,1541.672,1541.672,316.822,0.027,2629.752,0.002,0.003,0.007,0.008
sleep,RuleKit_mincov-5_measure-Correlation,5,417.236,417.236,417.236,731.5,7.742,5660.4,0.709,0.708,0.586,0.586,33.336,33.336,33.336,50.326,0.124,359.642,0.005,0.007,0.014,0.013
sleep,RuleKit_mincov-5_measure-Correlation_maxNbRules-10,5,12.208,12.208,12.208,50.0,6.19,309.5,0.706,0.706,0.56,0.56,1.174,1.174,1.174,0.0,0.078,3.923,0.001,0.003,0.001,0.004
sleep,RuleKit_mincov-5_measure-Correlation_maxNbRules-100,5,236.632,236.632,236.632,499.8,7.598,3797.6,0.713,0.712,0.585,0.584,12.569,12.569,12.569,0.632,0.035,18.834,0.001,0.003,0.002,0.005
sleep,RuleKit_mincov-5_measure-Correlation_maxNbRules-10perOrgRules,5,207.671,207.671,207.671,365.5,7.418,2711.6,0.712,0.712,0.587,0.586,61.047,61.047,61.047,25.761,0.041,198.743,0.001,0.003,0.001,0.004
sleep,RuleKit_mincov-5_measure-Correlation_maxNbRules-25perOrgRules,5,640.345,640.345,640.345,834.4,7.648,6381.8,0.712,0.711,0.568,0.568,219.483,219.483,219.483,34.549,0.079,277.777,0.002,0.003,0.005,0.004
sleep,RuleKit_mincov-5_measure-Correlation_maxNbRules-3,5,3.004,3.004,3.004,14.0,5.571,78.0,0.683,0.683,0.542,0.542,0.387,0.387,0.387,0.0,0.202,2.828,0.003,0.004,0.005,0.006
sleep,RuleKit_mincov-5_measure-Correlation_maxNbRules-5,5,5.367,5.367,5.367,25.0,5.808,145.2,0.704,0.703,0.557,0.557,0.64,0.64,0.64,0.0,0.096,2.394,0.002,0.002,0.004,0.005
sleep,RuleKit_mincov-5_measure-Correlation_maxNbRules-50perOrgRules,5,890.132,890.132,890.132,1046.7,7.544,7897.9,0.711,0.711,0.561,0.561,298.383,298.383,298.383,42.599,0.111,378.809,0.001,0.003,0.008,0.008
